"2020Q3";"Never married";"Albertslund";13726;7347;6379
"2020Q3";"Never married";"Ballerup";22667;12071;10596
"2020Q3";"Never married";"Brøndby";16299;8624;7675
"2020Q3";"Never married";"Gentofte";35169;17841;17328
"2020Q3";"Never married";"Gladsaxe";34752;18639;16113
"2020Q3";"Never married";"Glostrup";11386;6136;5250
"2020Q3";"Never married";"Herlev";13810;7296;6514
"2020Q3";"Never married";"Hvidovre";26581;13999;12582
"2020Q3";"Never married";"Høje-Taastrup";23728;12751;10977
"2020Q3";"Never married";"Ishøj";10873;5788;5085
"2020Q3";"Never married";"Lyngby-Taarbæk";27764;14811;12953
"2020Q3";"Never married";"Rødovre";20198;10689;9509
"2020Q3";"Never married";"Vallensbæk";7318;3944;3374
"2020Q3";"Never married";"Allerød";10605;5499;5106
"2020Q3";"Never married";"Egedal";18396;9746;8650
"2020Q3";"Never married";"Fredensborg";17247;8972;8275
"2020Q3";"Never married";"Frederikssund";18645;10087;8558
"2020Q3";"Never married";"Furesø";17505;9253;8252
"2020Q3";"Never married";"Gribskov";16036;8737;7299
"2020Q3";"Never married";"Halsnæs";12777;6949;5828
"2020Q3";"Never married";"Helsingør";27327;14352;12975
"2020Q3";"Never married";"Hillerød";23416;12391;11025
"2020Q3";"Never married";"Hørsholm";9648;4986;4662
"2020Q3";"Never married";"Rudersdal";24684;13068;11616
"2020Q3";"Never married";"Bornholm";16066;8755;7311
"2020Q3";"Never married";"Christiansø";33;22;11
"2020Q3";"Never married";"Greve";21065;11234;9831
"2020Q3";"Never married";"Køge";27447;14789;12658
"2020Q3";"Never married";"Lejre";11637;6132;5505
"2020Q3";"Never married";"Roskilde";41580;21927;19653
"2020Q3";"Never married";"Solrød";10065;5301;4764
"2020Q3";"Never married";"Faxe";15681;8705;6976
"2020Q3";"Never married";"Guldborgsund";25813;14148;11665
"2020Q3";"Never married";"Holbæk";32366;17464;14902
"2020Q3";"Never married";"Kalundborg";21195;11583;9612
"2020Q3";"Never married";"Lolland";17056;9572;7484
"2020Q3";"Never married";"Næstved";38262;20568;17694
"2020Q3";"Never married";"Odsherred";13051;7253;5798
"2020Q3";"Never married";"Ringsted";16089;8704;7385
"2020Q3";"Never married";"Slagelse";37477;20168;17309
"2020Q3";"Never married";"Sorø";13306;7262;6044
"2020Q3";"Never married";"Stevns";9138;5000;4138
"2020Q3";"Never married";"Vordingborg";19118;10350;8768
"2020Q3";"Never married";"Assens";17664;9622;8042
"2020Q3";"Never married";"Faaborg-Midtfyn";22137;12039;10098
"2020Q3";"Never married";"Kerteminde";9831;5252;4579
"2020Q3";"Never married";"Langeland";4544;2601;1943
"2020Q3";"Never married";"Middelfart";16596;8980;7616
"2020Q3";"Never married";"Nordfyns";12670;6936;5734
"2020Q3";"Never married";"Nyborg";13827;7360;6467
"2020Q3";"Never married";"Odense";112672;59180;53492
"2020Q3";"Never married";"Svendborg";26281;14220;12061
"2020Q3";"Never married";"Ærø";2203;1281;922
"2020Q3";"Never married";"Billund";11755;6453;5302
"2020Q3";"Never married";"Esbjerg";55330;29892;25438
"2020Q3";"Never married";"Fanø";1267;658;609
"2020Q3";"Never married";"Fredericia";23752;12947;10805
"2020Q3";"Never married";"Haderslev";24823;13494;11329
"2020Q3";"Never married";"Kolding";44969;24020;20949
"2020Q3";"Never married";"Sønderborg";32180;17660;14520
"2020Q3";"Never married";"Tønder";15764;8752;7012
"2020Q3";"Never married";"Varde";21706;11992;9714
"2020Q3";"Never married";"Vejen";19353;10681;8672
"2020Q3";"Never married";"Vejle";55161;29501;25660
"2020Q3";"Never married";"Aabenraa";25364;13701;11663
"2020Q3";"Never married";"Favrskov";21843;11815;10028
"2020Q3";"Never married";"Hedensted";20335;11272;9063
"2020Q3";"Never married";"Horsens";44741;24152;20589
"2020Q3";"Never married";"Norddjurs";16375;9255;7120
"2020Q3";"Never married";"Odder";9603;5092;4511
"2020Q3";"Never married";"Randers";47342;25432;21910
"2020Q3";"Never married";"Samsø";1291;733;558
"2020Q3";"Never married";"Silkeborg";44180;23455;20725
"2020Q3";"Never married";"Skanderborg";29040;15339;13701
"2020Q3";"Never married";"Syddjurs";18125;9787;8338
"2020Q3";"Never married";"Aarhus";208470;106923;101547
"2020Q3";"Never married";"Herning";42075;22850;19225
"2020Q3";"Never married";"Holstebro";27545;14742;12803
"2020Q3";"Never married";"Ikast-Brande";18658;10325;8333
"2020Q3";"Never married";"Lemvig";7932;4467;3465
"2020Q3";"Never married";"Ringkøbing-Skjern";24244;13518;10726
"2020Q3";"Never married";"Skive";20206;11314;8892
"2020Q3";"Never married";"Struer";8496;4721;3775
"2020Q3";"Never married";"Viborg";45423;24698;20725
"2020Q3";"Never married";"Brønderslev";16301;8996;7305
"2020Q3";"Never married";"Frederikshavn";24745;13797;10948
"2020Q3";"Never married";"Hjørring";28682;15681;13001
"2020Q3";"Never married";"Jammerbugt";16404;9048;7356
"2020Q3";"Never married";"Læsø";607;349;258
"2020Q3";"Never married";"Mariagerfjord";18150;10139;8011
"2020Q3";"Never married";"Morsø";8804;4913;3891
"2020Q3";"Never married";"Rebild";13751;7534;6217
"2020Q3";"Never married";"Thisted";18757;10333;8424
"2020Q3";"Never married";"Vesthimmerlands";16158;9008;7150
"2020Q3";"Never married";"Aalborg";118694;63804;54890
"2020Q3";"Married/separated";"Copenhagen";149291;75628;73663
"2020Q3";"Married/separated";"Frederiksberg";28951;14609;14342
"2020Q3";"Married/separated";"Dragør";6535;3277;3258
"2020Q3";"Married/separated";"Tårnby";16466;8235;8231
"2020Q3";"Married/separated";"Albertslund";9915;4963;4952
"2020Q3";"Married/separated";"Ballerup";18409;9176;9233
"2020Q3";"Married/separated";"Brøndby";13215;6628;6587
"2020Q3";"Married/separated";"Gentofte";28803;14420;14383
"2020Q3";"Married/separated";"Gladsaxe";24526;12263;12263
"2020Q3";"Married/separated";"Glostrup";8324;4182;4142
"2020Q3";"Married/separated";"Herlev";10498;5242;5256
"2020Q3";"Married/separated";"Hvidovre";19145;9590;9555
"2020Q3";"Married/separated";"Høje-Taastrup";20155;10159;9996
"2020Q3";"Married/separated";"Ishøj";8859;4438;4421
"2020Q3";"Married/separated";"Lyngby-Taarbæk";20232;10103;10129
"2020Q3";"Married/separated";"Rødovre";14299;7137;7162
"2020Q3";"Married/separated";"Vallensbæk";7194;3603;3591
"2020Q3";"Married/separated";"Allerød";11820;5902;5918
"2020Q3";"Married/separated";"Egedal";19668;9862;9806
"2020Q3";"Married/separated";"Fredensborg";17534;8765;8769
"2020Q3";"Married/separated";"Frederikssund";18964;9500;9464
"2020Q3";"Married/separated";"Furesø";17818;8890;8928
"2020Q3";"Married/separated";"Gribskov";17797;8946;8851
"2020Q3";"Married/separated";"Halsnæs";12999;6504;6495
"2020Q3";"Married/separated";"Helsingør";24424;12202;12222
"2020Q3";"Married/separated";"Hillerød";20533;10268;10265
"2020Q3";"Married/separated";"Hørsholm";10739;5358;5381
"2020Q3";"Married/separated";"Rudersdal";23570;11799;11771
"2020Q3";"Married/separated";"Bornholm";15878;7960;7918
"2020Q3";"Married/separated";"Christiansø";42;21;21
